Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,Inflation
2000,169.3,170,171,170.9,171.2,172.2,172.7,172.7,173.6,173.9,174.2,174.6,172.19,
2001,175.6,176,176.1,176.4,177.3,177.7,177.4,177.4,178.1,177.6,177.5,177.4,177.04,2.82
2002,177.7,178,178.5,179.3,179.5,179.6,180,180.5,180.8,181.2,181.5,181.8,179.87,1.6
2003,182.6,183.6,183.9,183.2,182.9,183.1,183.7,184.5,185.1,184.9,185,185.5,184,2.3
2004,186.3,186.7,187.1,187.4,188.2,188.9,189.1,189.2,189.8,190.8,191.7,191.7,188.91,2.67
2005,191.6,192.4,193.1,193.7,193.6,193.7,194.9,196.1,198.8,199.1,198.1,198.1,195.27,3.37
2006,199.3,199.4,199.7,200.7,201.3,201.8,202.9,203.8,202.8,201.9,202,203.1,201.56,3.22
2007,203.437,204.226,205.288,205.904,206.755,207.234,207.603,207.667,208.547,209.19,210.834,211.445,207.34,2.87
2008,212.174,212.687,213.448,213.942,215.208,217.463,219.016,218.69,218.877,216.995,213.153,211.398,215.25,3.81
2009,211.933,212.705,212.495,212.709,213.022,214.79,214.726,215.445,215.861,216.509,217.234,217.347,214.56,-0.32
2010,217.488,217.281,217.353,217.403,217.29,217.199,217.605,217.923,218.275,219.035,219.59,220.472,218.08,1.64
2011,221.187,221.898,223.046,224.093,224.806,224.806,225.395,226.106,226.597,226.75,227.169,227.223,224.92,3.14
2012,227.842,228.329,228.807,229.187,228.713,228.524,228.59,229.918,231.015,231.638,231.249,231.221,229.59,2.08
2013,231.679,232.937,232.282,231.797,231.893,232.445,232.9,233.456,233.544,233.669,234.1,234.719,232.95,1.46
2014,235.288,235.547,236.028,236.468,236.918,237.231,237.498,237.46,237.477,237.43,236.983,236.252,236.72,1.62
2015,234.747,235.342,235.976,236.222,237.001,237.657,238.034,238.033,237.498,237.733,238.017,237.761,237,0.12
2016,237.827,237.514,237.99,238.835,239.44,240.144,240.111,240.595,241.068,241.641,241.993,242.712,239.99,1.26
2017,243.717,244.028,243.721,244.058,243.926,244.179,244.328,245.304,246.445,246.57,247.333,247.847,245.12,2.14
2018,248.816,249.475,249.413,249.957,250.64,251.176,251.482,251.905,252.261,252.777,252.662,252.653,251.1,2.44
2019,252.55,253.181,254.095,254.943,255.167,255.402,256.087,256.294,256.593,257.229,257.824,258.444,255.65,1.81
