State,Time_Series,Median_Sales_Price,
California,2008,317.58,
California,2009,234.86,
California,2010,263.36,
California,2011,248.01,
California,2012,261.85,
California,2013,333.4,
California,2014,372.89,
Florida,2008,179.02,
Florida,2009,132.88,
Florida,2010,121.18,
Florida,2011,112.04,
Florida,2012,120.83,
Florida,2013,138.65,
Florida,2014,149.26,
Massachussets,2008,289.23,
Massachussets,2009,266.27,
Massachussets,2010,284.94,
Massachussets,2011,274.19,
Massachussets,2012,281.2,
Massachussets,2013,303.33,
Massachussets,2014,316.13,
North Carolina,2008,146.48,
North Carolina,2009,144.04,
North Carolina,2010,144.94,
North Carolina,2011,139.75,
North Carolina,2012,141.41,
North Carolina,2013,146.96,
North Carolina,2014,150.36,
