DATE,WILLLRGCAP
4/3/2006,30558
4/4/2006,30741
4/5/2006,30879
4/6/2006,30828
4/7/2006,30516
4/10/2006,30532
4/11/2006,30300
4/12/2006,30335
4/13/2006,30362
4/17/2006,30280
4/18/2006,30799
4/19/2006,30877
4/20/2006,30908
4/21/2006,30900
4/24/2006,30828
4/25/2006,30677
4/26/2006,30747
4/27/2006,30853
4/28/2006,30882
5/1/2006,30766
5/2/2006,30939
5/3/2006,30827
5/4/2006,30936
5/5/2006,31260
5/8/2006,31247
5/9/2006,31254
5/10/2006,31215
5/11/2006,30832
5/12/2006,30472
5/15/2006,30529
5/16/2006,30478
5/17/2006,29974
5/18/2006,29769
5/19/2006,29884
5/22/2006,29754
5/23/2006,29624
5/24/2006,29655
5/25/2006,30003
5/26/2006,30186
5/30/2006,29716
5/31/2006,29982
6/1/2006,30357
6/2/2006,30421
6/5/2006,29879
6/6/2006,29821
6/7/2006,29641
6/8/2006,29666
6/9/2006,29549
6/12/2006,29153
6/13/2006,28845
6/14/2006,28991
6/15/2006,29635
6/16/2006,29531
6/19/2006,29254
6/20/2006,29238
6/21/2006,29545
6/22/2006,29397
6/23/2006,29399
6/26/2006,29539
6/27/2006,29272
6/28/2006,29431
6/29/2006,30073
6/30/2006,30031
7/3/2006,30271
7/5/2006,30041
7/6/2006,30121
7/7/2006,29913
7/10/2006,29947
7/11/2006,30064
7/12/2006,29745
7/13/2006,29357
7/14/2006,29205
7/17/2006,29156
7/18/2006,29207
7/19/2006,29758
7/20/2006,29479
7/21/2006,29251
7/24/2006,29746
7/25/2006,29959
7/26/2006,29953
7/27/2006,29818
7/28/2006,30183
7/31/2006,30151
8/1/2006,30008
8/2/2006,30195
8/3/2006,30250
8/4/2006,30222
8/7/2006,30136
8/8/2006,30027
8/9/2006,29900
8/10/2006,30038
8/11/2006,29917
8/14/2006,29949
8/15/2006,30367
8/16/2006,30626
8/17/2006,30671
8/18/2006,30783
8/21/2006,30668
8/22/2006,30697
8/23/2006,30552
8/24/2006,30621
8/25/2006,30603
8/28/2006,30762
8/29/2006,30831
8/30/2006,30851
8/31/2006,30856
9/1/2006,31024
9/5/2006,31085
9/6/2006,30769
9/7/2006,30624
9/8/2006,30730
9/11/2006,30735
9/12/2006,31062
9/13/2006,31198
9/14/2006,31151
9/15/2006,31228
9/18/2006,31258
9/19/2006,31185
9/20/2006,31340
9/21/2006,31178
9/22/2006,31093
9/25/2006,31359
9/26/2006,31595
9/27/2006,31623
9/28/2006,31683
9/29/2006,31612
10/2/2006,31499
10/3/2006,31549
10/4/2006,31934
10/5/2006,32042
10/6/2006,31947
10/9/2006,31987
10/10/2006,32062
10/11/2006,31977
10/12/2006,32287
10/13/2006,32362
10/16/2006,32457
10/17/2006,32330
10/18/2006,32372
10/19/2006,32404
10/20/2006,32422
10/23/2006,32616
10/24/2006,32627
10/25/2006,32747
10/26/2006,32936
10/27/2006,32660
10/30/2006,32672
10/31/2006,32677
11/1/2006,32435
11/2/2006,32428
11/3/2006,32376
11/6/2006,32746
11/7/2006,32814
11/8/2006,32905
11/9/2006,32739
11/10/2006,32802
11/13/2006,32888
11/14/2006,33100
11/15/2006,33199
11/16/2006,33265
11/17/2006,33299
11/20/2006,33301
11/21/2006,33369
11/22/2006,33459
11/24/2006,33352
11/27/2006,32887
11/28/2006,33003
11/29/2006,33330
11/30/2006,33370
12/1/2006,33292
12/4/2006,33588
12/5/2006,33718
12/6/2006,33691
12/7/2006,33556
12/8/2006,33612
12/11/2006,33685
12/12/2006,33648
12/13/2006,33693
12/14/2006,33978
12/15/2006,34015
12/18/2006,33891
12/19/2006,33961
12/20/2006,33913
12/21/2006,33790
12/22/2006,33622
12/26/2006,33763
12/27/2006,34007
12/28/2006,33961
12/29/2006,33811
1/3/2007,33777
1/4/2007,33825
1/5/2007,33613
1/8/2007,33701
1/9/2007,33700
1/10/2007,33787
1/11/2007,34016
1/12/2007,34184
1/16/2007,34209
1/17/2007,34183
1/18/2007,34071
1/19/2007,34181
1/22/2007,34008
1/23/2007,34132
1/24/2007,34427
1/25/2007,34043
1/26/2007,34008
1/29/2007,33989
1/30/2007,34186
1/31/2007,34423
2/1/2007,34615
2/2/2007,34674
2/5/2007,34647
2/6/2007,34678
2/7/2007,34750
2/8/2007,34710
2/9/2007,34460
2/12/2007,34336
2/13/2007,34605
2/14/2007,34875
2/15/2007,34914
2/16/2007,34897
2/20/2007,35007
2/21/2007,34966
2/22/2007,34944
2/23/2007,34827
2/26/2007,34788
2/27/2007,33606
2/28/2007,33795
3/1/2007,33710
3/2/2007,33318
3/5/2007,32979
3/6/2007,33495
3/7/2007,33429
3/8/2007,33673
3/9/2007,33701
3/12/2007,33794
3/13/2007,33124
3/14/2007,33329
3/15/2007,33463
3/16/2007,33332
3/19/2007,33704
3/20/2007,33920
3/21/2007,34491
3/22/2007,34485
3/23/2007,34520
3/26/2007,34545
3/27/2007,34338
3/28/2007,34082
3/29/2007,34201
3/30/2007,34171
4/2/2007,34265
4/3/2007,34585
4/4/2007,34626
4/5/2007,34743
4/9/2007,34768
4/10/2007,34861
4/11/2007,34638
4/12/2007,34848
4/13/2007,34970
4/16/2007,35330
4/17/2007,35396
4/18/2007,35415
4/19/2007,35361
4/20/2007,35677
4/23/2007,35606
4/24/2007,35591
4/25/2007,35941
4/26/2007,35926
4/27/2007,35910
4/30/2007,35617
5/1/2007,35703
5/2/2007,35955
5/3/2007,36119
5/4/2007,36199
5/7/2007,36286
5/8/2007,36244
5/9/2007,36382
5/10/2007,35884
5/11/2007,36237
5/14/2007,36162
5/15/2007,36104
5/16/2007,36411
5/17/2007,36385
5/18/2007,36618
5/21/2007,36697
5/22/2007,36691
5/23/2007,36644
5/24/2007,36272
5/25/2007,36471
5/29/2007,36551
5/30/2007,36867
5/31/2007,36890
6/1/2007,37031
6/4/2007,37109
6/5/2007,36911
6/6/2007,36583
6/7/2007,35936
6/8/2007,36336
6/11/2007,36377
6/12/2007,36002
6/13/2007,36539
6/14/2007,36719
6/15/2007,36958
6/18/2007,36911
6/19/2007,36973
6/20/2007,36480
6/21/2007,36710
6/22/2007,36259
6/25/2007,36123
6/26/2007,36002
6/27/2007,36337
6/28/2007,36330
6/29/2007,36282
7/2/2007,36679
7/3/2007,36815
7/5/2007,36843
7/6/2007,36987
7/9/2007,37018
7/10/2007,36503
7/11/2007,36711
7/12/2007,37385
7/13/2007,37507
7/16/2007,37428
7/17/2007,37427
7/18/2007,37355
7/19/2007,37524
7/20/2007,37083
7/23/2007,37242
7/24/2007,36508
7/25/2007,36655
7/26/2007,35804
7/27/2007,35254
7/30/2007,35610
7/31/2007,35180
8/1/2007,35401
8/2/2007,35573
8/3/2007,34648
8/6/2007,35430
8/7/2007,35667
8/8/2007,36181
8/9/2007,35148
8/10/2007,35136
8/13/2007,35136
8/14/2007,34504
8/15/2007,34018
8/16/2007,34095
8/17/2007,34932
8/20/2007,34947
8/21/2007,34996
8/22/2007,35413
8/23/2007,35378
8/24/2007,35791
8/27/2007,35485
8/28/2007,34668
8/29/2007,35424
8/30/2007,35288
8/31/2007,35690
9/4/2007,36080
9/5/2007,35698
9/6/2007,35850
9/7/2007,35257
9/10/2007,35195
9/11/2007,35668
9/12/2007,35678
9/13/2007,35965
9/14/2007,35987
9/17/2007,35795
9/18/2007,36816
9/19/2007,37030
9/20/2007,36799
9/21/2007,36966
9/24/2007,36787
9/25/2007,36780
9/26/2007,36986
9/27/2007,37153
9/28/2007,37052
10/1/2007,37536
10/2/2007,37538
10/3/2007,37370
10/4/2007,37451
10/5/2007,37829
10/8/2007,37721
10/9/2007,38025
10/10/2007,37989
10/11/2007,37794
10/12/2007,37986
10/15/2007,37668
10/16/2007,37427
10/17/2007,37506
10/18/2007,37482
10/19/2007,36535
10/22/2007,36677
10/23/2007,37002
10/24/2007,36916
10/25/2007,36874
10/26/2007,37363
10/29/2007,37519
10/30/2007,37279
10/31/2007,37739
11/1/2007,36784
11/2/2007,36815
11/5/2007,36618
11/6/2007,37055
11/7/2007,36027
11/8/2007,36005
11/9/2007,35483
11/12/2007,35095
11/13/2007,36103
11/14/2007,35876
11/15/2007,35423
11/16/2007,35614
11/19/2007,35002
11/20/2007,35142
11/21/2007,34600
11/23/2007,35161
11/26/2007,34397
11/27/2007,34892
11/28/2007,35885
11/29/2007,35917
11/30/2007,36197
12/3/2007,36010
12/4/2007,35787
12/5/2007,36331
12/6/2007,36878
12/7/2007,36839
12/10/2007,37118
12/11/2007,36192
12/12/2007,36381
12/13/2007,36422
12/14/2007,35932
12/17/2007,35374
12/18/2007,35580
12/19/2007,35545
12/20/2007,35744
12/21/2007,36327
12/24/2007,36627
12/26/2007,36658
12/27/2007,36155
12/28/2007,36210
12/31/2007,35976
1/2/2008,35480
1/3/2008,35468
1/4/2008,34586
1/7/2008,34664
1/8/2008,34043
1/9/2008,34469
1/10/2008,34752
1/11/2008,34282
1/14/2008,34639
1/15/2008,33784
1/16/2008,33591
1/17/2008,32641
1/18/2008,32456
1/22/2008,32121
1/23/2008,32799
1/24/2008,33151
1/25/2008,32646
1/28/2008,33219
1/29/2008,33423
1/30/2008,33250
1/31/2008,33806
2/1/2008,34247
2/4/2008,33903
2/5/2008,32855
2/6/2008,32602
2/7/2008,32854
2/8/2008,32747
2/11/2008,32949
2/12/2008,33168
2/13/2008,33633
2/14/2008,33188
2/15/2008,33212
2/19/2008,33188
2/20/2008,33462
2/21/2008,33044
2/22/2008,33296
2/25/2008,33763
2/26/2008,33994
2/27/2008,33956
2/28/2008,33665
2/29/2008,32774
3/3/2008,32785
3/4/2008,32668
3/5/2008,32864
3/6/2008,32140
3/7/2008,31861
3/10/2008,31345
3/11/2008,32480
3/12/2008,32209
3/13/2008,32383
3/14/2008,31721
3/17/2008,31395
3/18/2008,32692
3/19/2008,31909
3/20/2008,32645
3/24/2008,33163
3/25/2008,33270
3/26/2008,33000
3/27/2008,32638
3/28/2008,32399
3/31/2008,32579
4/1/2008,33711
4/2/2008,33667
4/3/2008,33727
4/4/2008,33779
4/7/2008,33842
4/8/2008,33700
4/9/2008,33422
4/10/2008,33591
4/11/2008,32921
4/14/2008,32818
4/15/2008,32962
4/16/2008,33715
4/17/2008,33720
4/18/2008,34309
4/21/2008,34272
4/22/2008,33972
4/23/2008,34069
4/24/2008,34266
4/25/2008,34499
4/28/2008,34470
4/29/2008,34333
4/30/2008,34223
5/1/2008,34778
5/2/2008,34893
5/5/2008,34759
5/6/2008,35033
5/7/2008,34441
5/8/2008,34588
