DATE,WILLSMLCAP
2015-02-20,90281.11
2015-02-23,90275.80
2015-02-24,90376.36
2015-02-25,90470.25
2015-02-26,90573.00
2015-02-27,90216.78
2015-03-02,90856.34
2015-03-03,90359.33
2015-03-04,90007.53
2015-03-05,90152.13
2015-03-06,88968.94
2015-03-09,89330.78
2015-03-10,88290.00
2015-03-11,88869.45
2015-03-12,90180.67
2015-03-13,89748.74
2015-03-16,90375.63
2015-03-17,90500.96
2015-03-18,91321.52
2015-03-19,91351.94
2015-03-20,92268.94
2015-03-23,92197.08
2015-03-24,91990.20
2015-03-25,90160.36
2015-03-26,89962.27
2015-03-27,90472.21
2015-03-30,91683.08
2015-03-31,91370.16
2015-04-01,91284.56
2015-04-02,91629.08
2015-04-03,.
2015-04-06,92197.02
2015-04-07,91612.76
2015-04-08,92125.11
2015-04-09,91857.13
2015-04-10,92204.00
2015-04-13,92165.69
2015-04-14,92264.14
2015-04-15,92926.81
2015-04-16,92741.86
2015-04-17,91416.09
2015-04-20,92212.26
2015-04-21,92118.09
2015-04-22,92296.60
2015-04-23,92775.68
2015-04-24,92486.69
2015-04-27,91622.28
2015-04-28,92089.86
2015-04-29,91360.32
2015-04-30,89781.90
2015-05-01,90406.21
2015-05-04,90765.34
2015-05-05,89509.23
2015-05-06,89681.85
2015-05-07,90011.01
2015-05-08,90749.08
2015-05-11,90739.30
2015-05-12,90596.14
2015-05-13,90540.64
2015-05-14,91420.28
2015-05-15,91376.20
2015-05-18,92214.94
2015-05-19,92060.13
2015-05-20,92116.62
2015-05-21,92120.42
2015-05-22,91866.95
2015-05-25,.
2015-05-26,90835.84
2015-05-27,91788.53
2015-05-28,91678.56
2015-05-29,91188.04
2015-06-01,91385.87
2015-06-02,91602.23
2015-06-03,92286.77
2015-06-04,91397.79
2015-06-05,91898.85
2015-06-08,91362.82
2015-06-09,91140.84
2015-06-10,92256.81
2015-06-11,92460.78
2015-06-12,92126.27
2015-06-15,91766.38
2015-06-16,92286.45
2015-06-17,92260.55
2015-06-18,93235.22
2015-06-19,93159.06
2015-06-22,93618.23
2015-06-23,93864.57
2015-06-24,93003.23
2015-06-25,92806.59
2015-06-26,92740.39
2015-06-29,90540.18
2015-06-30,90946.37
2015-07-01,91179.75
2015-07-02,90801.94
2015-07-03,.
2015-07-06,90563.80
2015-07-07,90798.86
2015-07-08,89412.45
2015-07-09,89670.00
2015-07-10,90787.03
2015-07-13,91670.34
2015-07-14,92132.57
2015-07-15,91498.24
2015-07-16,91987.99
2015-07-17,91406.89
2015-07-20,91035.34
2015-07-21,90645.64
2015-07-22,90813.00
2015-07-23,89915.98
2015-07-24,88745.48
2015-07-27,87897.64
2015-07-28,88725.98
2015-07-29,89437.18
2015-07-30,89624.95
2015-07-31,89984.27
2015-08-03,89504.68
2015-08-04,89356.30
2015-08-05,89560.43
2015-08-06,88740.54
2015-08-07,88261.16
2015-08-10,89419.48
2015-08-11,88675.38
2015-08-12,88551.87
2015-08-13,88314.46
2015-08-14,88846.85
2015-08-17,89639.28
2015-08-18,89095.95
2015-08-19,88233.40
2015-08-20,86184.54
2015-08-21,84774.09
2015-08-24,81491.07
2015-08-25,80865.03
2015-08-26,82831.67
2015-08-27,84627.23
2015-08-28,85250.80
2015-08-31,84963.04
2015-09-01,82662.54
2015-09-02,83853.96
2015-09-03,83990.31
2015-09-04,83169.99
2015-09-07,.
2015-09-08,84982.00
2015-09-09,84038.01
2015-09-10,84303.62
2015-09-11,84686.12
2015-09-14,84384.61
2015-09-15,85266.98
2015-09-16,86043.19
2015-09-17,86289.22
2015-09-18,84944.77
2015-09-21,85010.80
2015-09-22,83717.29
2015-09-23,83510.30
2015-09-24,83264.55
2015-09-25,82571.49
2015-09-28,80242.47
2015-09-29,79873.75
2015-09-30,81052.07
2015-10-01,80951.61
2015-10-02,82087.63
2015-10-05,84060.12
2015-10-06,83785.30
2015-10-07,84990.03
2015-10-08,85852.02
2015-10-09,86040.18
2015-10-12,85943.28
